,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,geometry
7779,1610070400,101,운북동1355-7,0,,POINT (156005.1461999927 547876.2184999924)
7780,1610070500,102,예단포1로시점,0,,POINT (156009.7069999957 548063.6827999952)
7781,1610070600,101,운북동1358-7,0,,POINT (156026.1806999958 547842.8809000002)
7782,1610070700,101,예단포2로4,0,,POINT (156039.6743999948 547563.4803999919)
7783,1610070800,101,운북동1359-15,0,,POINT (156068.4974999944 547911.9704000008)
7784,1610070900,101,미단희망로1,0,,POINT (156069.8369999971 547661.9056000015)
7785,1610071000,101,미단소망로1,0,,POINT (156073.0119999935 547532.5239999976)
7786,1610071100,103,속성변화점,0,,POINT (156085.9725999986 547807.1028000006)
7787,1610071200,101,미단희망로2,0,,POINT (156086.9026999999 547689.6868999933)
7788,1610071300,101,운북동1368-2,0,,POINT (156106.4705999948 547408.3865999946)
7789,1610071400,101,예단포2로3,0,,POINT (156108.3339999995 547628.1710999956)
7790,1610071500,101,운북동1360-6,0,,POINT (156117.8589999969 547742.0744999928)
9308,1610105600,101,운서동2811-3,0,,POINT (154965.9117999974 544724.1442999947)
9309,1610105700,101,운서동2811-3,0,,POINT (155080.0979999969 544788.2654999897)
9310,1610105800,101,운서동2706-3,0,,POINT (155124.2116999996 544770.4561999977)
9311,1610105900,101,운서동2811-3,0,,POINT (155033.9460999967 544633.1443999965)
9312,1610106000,101,운서동2811-3,0,,POINT (155002.7899999997 544594.4700999985)
9313,1610106100,101,운서동2811-3,0,,POINT (154938.0962999991 544690.0762999981)
9314,1610106200,101,운서동2811-1,0,,POINT (154868.3689999944 544876.3428000017)
9315,1610106300,101,운서동2811-1,0,,POINT (154912.5717999933 544875.1787000009)
9316,1610106400,101,운서동2657-2,0,,POINT (154795.9893999995 544776.8543999948)
9317,1610106500,102,운서동2811-2,0,,POINT (154757.1413999935 544746.5460999988)
9318,1610106600,102,운서동2811-2,0,,POINT (154793.5280999978 544730.6266000012)
9319,1610106700,102,운서동2811-2,0,,POINT (154760.878799998 544824.2108000008)
9320,1610106800,102,운서동2811-1,0,,POINT (154765.5404999994 544868.5769999976)
9321,1610106900,102,운서동2811-1,0,,POINT (154834.3534999934 544921.8433999909)
9322,1610107000,102,운서동2811-1,0,,POINT (154829.0831999995 544969.0378999974)
9323,1610107100,102,운서동2811-1,0,,POINT (154747.3196999961 544973.1807999966)
9324,1610107200,102,운서동2811-1,0,,POINT (154828.1835999933 545006.9604999905)
9325,1610107300,102,운서동2811-1,0,,POINT (154883.4575999971 545009.4354999926)
9326,1610107400,102,운서동2811-1,0,,POINT (154914.5876999941 545043.4854000016)
9327,1610107500,102,운서동2811-1,0,,POINT (154952.1835999936 545046.9812999998)
9328,1610107600,102,운서동2811-1,0,,POINT (154916.5978999959 545006.4815999968)
9329,1610107700,102,운서동2811-1,0,,POINT (154917.4128999929 544952.8375000032)
9330,1610107800,102,운서동2811-1,0,,POINT (154869.6894999976 544916.103000003)
9331,1610107900,102,운서동2811-1,0,,POINT (154913.892199992 544914.9388999909)
9332,1610108000,102,운서동2811-1,0,,POINT (154865.9230999943 544832.889399997)
9333,1610108100,102,운서동2811-1,0,,POINT (154911.2413999969 544833.5688999944)
9334,1610108200,102,운서동2811-3,0,,POINT (154959.8402999929 544827.7571999936)
9335,1610108300,102,운서동2811-3,0,,POINT (154988.4456999968 544803.5572000021)
